company,headline,sentiment,date
Walgreens Boots Alliance Inc.,Yahoo Finance Analysts Estimate Walgreens Boots Alliance (WBA) to Report a Decline in Earnings: What to Look Out for Wall Street expects a year-over-year decline in earnings on higher revenues when Walgreens Boots Alliance (WBA) reports results for the quarter ended August... .,0.0,
Walgreens Boots Alliance Inc.,"Benzinga Walgreens Earnings Are Imminent; These Most Accurate Analysts Revise Forecasts Ahead Of Earnings Call Walgreens Boots Alliance, Inc. WBA will release earnings results for its fiscal year 2025 first quarter, before the opening bell on Thursday, Jan. 9, 2025. .",0.0,
Walgreens Boots Alliance Inc.,"www.boots-uk.com Walgreens Boots Alliance concludes strategic review and decides to retain ownership of its successful Boots business Walgreens Boots Alliance, Inc. (Nasdaq: WBA) today announced its decision to keep its Boots and No7 Beauty Company businesses under its existing ownership. .",0.8225,
Walgreens Boots Alliance Inc.,Reuters Walgreens agrees to pay $100 mln to resolve lawsuit over generic drug pricing Walgreens has agreed to pay $100 million to settle a proposed class action lawsuit accusing it of fraudulently overcharging customers for a decade when they... .,0.0516,
Walgreens Boots Alliance Inc.,"Morningstar Is Walgreens Stock a Buy, Sell, or Fairly Valued After CEO’s Departure? Walgreens Boots Alliance WBA reached a new 52-week low after the company released news of the departure of CEO and board member Rosalind Brewer on Sept. .",0.296,
Walgreens Boots Alliance Inc.,"Barchart Why Is Walgreens Stock So Cheap, And Should You Invest For Its 11% Dividend Yield? With a YTD loss of about 66%, Walgreens Boots Alliance (WBA) is the worst-performing S&P 500 Index ($SPX) stock of 2024. In absolute terms, it trades below... .",-0.3182,
Walgreens Boots Alliance Inc.,"Walgreens Boots Alliance Walgreens Boots Alliance, Inc. Fourth Quarter 2024 Earnings Conference Call Walgreens Boots Alliance, Inc. Fourth Quarter 2024 Earnings Conference Call on Tue, 10/15/2024 - 08:30. .",0.0,
Walgreens Boots Alliance Inc.,"Business Roundtable Tim Wentworth Tim Wentworth joined Walgreens Boots Alliance, Inc. as Chief Executive Officer in October 2023. He also is a Director on WBA's Board. .",0.0,
Walgreens Boots Alliance Inc.,"Progressive Grocer Walgreens Optimizes Store Ops With Zebra In the years since Walgreens Boots Alliance has deployed Workcloud Actionable Intelligence software from digital solution Zebra Technologies Corp.,... .",0.802,
Walgreens Boots Alliance Inc.,Reuters Walgreens Boots pockets $992 mln after cutting Cencora stake for third time U.S. drugstore chain Walgreens Boots Alliance on Wednesday said it has cut its stake in pharmaceutical distributor Cencora for the third time in just over... .,-0.3818,
Walgreens Boots Alliance Inc.,"Seeking Alpha Walgreens: So Bad It's Good Heading Into Earnings (Rating Upgrade) (NASDAQ:WBA) Financial writer recommends a speculative buy on Walgreens (WBA) despite weak profit forecasts and bearish trends, citing potential upside. .",0.1706,
Walgreens Boots Alliance Inc.,"Benzinga Walgreens Faces Nasdaq 100 Ouster Amid Financial Woes; Super Micro Computer Eyed As Replacement: Report In a series of setbacks for Walgreens Boots Alliance Inc, the company is now at risk of being removed from the Nasdaq 100 index. The potential replacement... .",-0.0258,
Walgreens Boots Alliance Inc.,"Business Wire Walgreens Boots Alliance Appoints Bryan C. Hanson to Board of Directors DEERFIELD, Ill.--(BUSINESS WIRE)--Walgreens Boots Alliance, Inc. (Nasdaq: WBA) today announced the appointment of Bryan C. Hanson to the company's board of... .",0.0,
Walgreens Boots Alliance Inc.,"The Business Journals Walgreens decides fate of its Boots and No7 Beauty brands Walgreens Boots Alliance, Inc. has decided to hold on to its Boots and No7 Beauty Company businesses after an internal review. .",0.8225,
Walgreens Boots Alliance Inc.,Reuters Walgreens drops after losing spot in blue-chip Dow index Shares of Walgreens Boots Alliance fell 3% on Wednesday after the U.S. pharmacy chain operator lost its spot on the Dow Jones Industrial Average to Amazon... .,-0.4019,
Walgreens Boots Alliance Inc.,Yahoo News Walgreens Boots Alliance Cuts Stake In AmerisourceBergen Via $1B Stock Sale Walgreens Boots Alliance Inc (NASDAQ: WBA) has sold shares of AmerisourceBergen Corp (NYSE: ABC) for proceeds of approximately $1.0 billion. .,0.0,
Walgreens Boots Alliance Inc.,"Bloomberg.com Unlike CVS, Walgreens Has a Cure for Its Woes America's biggest pharmacy chains are under the weather. On Friday, CVS Health Corp. replaced Chief Executive Officer Karen Lynch with longtime executive... .",-0.4404,
Walgreens Boots Alliance Inc.,"Insider Monkey Is Walgreens Boots Alliance, Inc. (WBA) an Oversold NASDAQ Stock to Invest In Now? Overall WBA ranks 4th on our list of the oversold NASDAQ stocks to invest in now. While we acknowledge the potential of WBA as an investment, our conviction... .",0.0,
Walgreens Boots Alliance Inc.,"Walgreens Boots Alliance John A. Lederer, Senior Advisor, Sycamore Partners | WBA John A. Lederer has served as a Senior Advisor to Sycamore Partners, a private equity firm, since September 2017. .",0.0,
Walgreens Boots Alliance Inc.,"Walgreens Boots Alliance Walgreens Stores Will Close for Thanksgiving Holiday On Thanksgiving Day ( November 28 ), most Walgreens locations will be closed, except for 500 Walgreens 24-hour locations, and 300 pharmacies within those... .",0.4019,
Walgreens Boots Alliance Inc.,"Seeking Alpha Is Walgreens Ready To Rebound? (NASDAQ:WBA) Walgreens Boots Alliance, WBA stock, pharmacy model, PBM challenges, reimbursement issues, DIR fees, cost-plus model, healthcare business, stock analysis. .",0.4215,
Walgreens Boots Alliance Inc.,"Yahoo Finance Jim Cramer Says ‘The Great Thing About Walgreens Boots Alliance Inc. (WBA) Is It Can Only Go Down Nine Points’ ""The thing is, these tech stocks tend to be winners when the Fed keeps rates high and the economy slows. But when the Fed slams on the accelerator, as it did... .",0.5574,
Walgreens Boots Alliance Inc.,"Simply Wall Street Walgreens Boots Alliance, Inc. (NASDAQ:WBA) Just Reported Yearly Earnings: Have Analysts Changed Their Mind On The Stock? Walgreens Boots Alliance's 14 analysts are forecasting 2025 revenues to be US$148.4b, approximately in line with the last 12 months. .",0.0,
Walgreens Boots Alliance Inc.,"Jacksonville Daily Record FIS hires former Walgreens chief financial officer Fidelity National Information Services Inc., or FIS, announced Aug. 22 it appointed the former chief financial officer of pharmacy giant Walgreens Boots... .",0.0,
Walgreens Boots Alliance Inc.,"Walgreens Boots Alliance Walgreens Boots Alliance Announces Pricing of $750,000,000 of Senior Unsecured Notes DEERFIELD, Ill. --(BUSINESS WIRE)--Aug. 8, 2024-- Walgreens Boots Alliance, Inc. (Nasdaq: WBA) today announced the pricing of an underwritten public... .",-0.6597,
Walgreens Boots Alliance Inc.,"Reuters Walgreens to shut 1,200 stores as CEO Wentworth seeks turnaround Walgreens Boots Alliance said on Tuesday it would shut 1200 stores over the next three years as new CEO Tim Wentworth plots a turnaround at the struggling... .",0.0,
Walgreens Boots Alliance Inc.,Fast Company Amazon is replacing Walgreens on the Dow Jones: Why it’s happening and how it works The first shakeup to the Dow Jones Industrial Average in nearly six years will happen on Monday. That's when Amazon will join the Dow and Walgreens will be... .,0.4588,
Walgreens Boots Alliance Inc.,"Axios How businesses can build a disability-inclusive workplace More and more companies are making diversity, equity and inclusion a top business priority. But many companies still don't recognize the value of employing... .",-0.2856,
Walgreens Boots Alliance Inc.,"The Business of Fashion Walgreens Is Exploring Options for Its Boots Business, CEO Says Walgreens Boots Alliance Inc. has begun a strategic review of its Boots drugstore business, chief executive officer Rosalind Brewer said Tuesday. .",0.0,
