company,headline,sentiment,date
3M Corporation,"The Verge
Facing mounting legal battles, 3M quits forever chemicals
After manufacturing PFAS for decades, 3M says it plans to turn its back on the forever chemicals. The company faces a slew of lawsuits over PFAS pollution...
.
20 Dec 2022",-0.4019,2022-12-20
3M Corporation,"WSJ
3M Stock Leads Dow Laggards
Shares of 3M fell 0.8% on Wednesday, the worst performer in the Dow industrials, with the shares down 3.8% at their intraday low. The move came as 3M's...
.
30 Nov 2022",-0.4215,2022-11-30
3M Corporation,"SHINE - BEYOND A SINGLE STORY
3M accelerates sustainable development in China
American company 3M has been accelerating sustainable development through Green Process & Produc.
.
11 Oct 2023",0.0,2023-10-11
3M Corporation,"The Globe and Mail
Manufacturer 3M Canada doubles down on remote work in an effort to access broader talent pool
The company is making remote work permanent to access a global talent pool.
.
16 Jun 2023",0.6808,2023-06-16
3M Corporation,"AL.com
3M to stop making ‘forever chemicals’ by 2025: What does that mean for Alabama?
The 3M company announced Tuesday that it will stop manufacturing or using PFAS, or “forever chemicals,” by 2025 at all of its facilities, including the plant...
.
20 Dec 2022",-0.5267,2022-12-20
3M Corporation,"The Business Journals
3M Co. health spinoff picks Insulet's Wayde McMillan as CFO
It's not clear where incoming CFO Wayde McMillan (or the 3M spinoff, for that matter) will be based, but McMillan did formerly work for Medtronic, and he is...
.
4 Oct 2023",-0.1511,2023-10-04
3M Corporation,"Inventiva
3M To Layoff 6000 Jobs Worldwide
American multinational company 3M has announced that it will undergo a major layoff in the coming months. The mining and manufacturing group will cut 6000...
.
28 Apr 2023",-0.2732,2023-04-28
3M Corporation,"Fierce Biotech
3M layoff tally climbs to 8,500 in companywide restructuring ahead of healthcare spinout
Another 6000 3M employees are set to be laid off, joining the 2500 job cuts announced earlier this year.
.
26 Apr 2023",-0.296,2023-04-26
3M Corporation,"CBS News
More layoffs at 3M: Company to cut 1,100 jobs at Maplewood headquarters
More layoffs at 3M: Company to cut 1,100 jobs at Maplewood headquarters ... MAPLEWOOD, Minn. -- 3M informed the state that it will be cutting approximately 1,100...
.
2 May 2023",-0.5719,2023-05-02
3M Corporation,"Financial Times
Top 3M shareholder fires warning shot at chief executive
German asset manager Flossbach von Storch says it is increasingly concerned at how the company is run.
.
2 Feb 2023",0.2263,2023-02-02
3M Corporation,"Pioneer Press
3M fires company executive for inappropriate conduct weeks after promotion
Vale is the second 3M executive to be fired over alleged behavior in the past year. In March 2021, Robert T. Cesna, 3M's global key account vice president, was...
.
15 May 2023",-0.5574,2023-05-15
3M Corporation,"WHNT.com
3M says it will ‘exit’ PFAS chemical manufacturing business by 2025
3M announced Tuesday morning that it will “exit” manufacturing of PFAS chemicals and work to discontinue use of PFAS in its products by the end of 2025.
.
20 Dec 2022",0.0,2022-12-20
3M Corporation,"San Antonio Express-News
3M spinning off health care business that includes wound care operations in San Antonio
The San Antonio ties trace back to Kinetic Concepts Inc., regarded as the city's most successful homegrown company in the health care field.
.
16 Nov 2023",0.9286,2023-11-16
3M Corporation,"Deccan Herald
3M India eyeing $200 million topline for its transportation & electronics biz this year
Talking about investments, Singh said that the company's focus remains on the electronics segment, with strategic areas involving 5G infrastructure,...
.
19 Sept 2023",0.0,
3M Corporation,"South Dakota Public Broadcasting
Brookings 3M plant manager reviews plan for PFAS mitigation
Brookings 3M plant manager reported continued levels of PFAS contamination in shallow water and soil at the plant. These findings were brought to light in a...
.
22 Sept 2023",0.0,
3M Corporation,"Time Magazine
3M’s Historic $10 Billion ‘Forever Chemical’ Payout Is Just The Tip of the PFAS Iceberg
3M got out from under some of that legal trouble, agreeing to pay $10.3 billion to at least 300 plaintiff communities.
.
23 Jun 2023",-0.0516,2023-06-23
3M Corporation,"HealthExec
3M spinning off healthcare division, launching new company
3M announced that the new independent healthcare company will be named Solventum, which the company said derives from the words “solving” and “momentum.”
.
20 Nov 2023",0.0,2023-11-20
3M Corporation,"The Washington Post
3M will stop making dangerous ‘forever chemicals’
The announcement comes as 3M is facing an onslaught of lawsuits from states and individuals who are claiming contamination from PFAS chemicals harmed their...
.
20 Dec 2022",-0.8402,2022-12-20
3M Corporation,"India Today
3M to lay off 6,000 employees globally as demand woes hit growth: Report
The diversified manufacturer said on Tuesday it will shift its focus to high-growth businesses, including automotive electrification and home improvement,...
.
26 Apr 2023",-0.2023,2023-04-26
3M Corporation,"Morningstar
3M’s Stock Is a Value Trap, as PFAS Settlement Doesn’t End the Risks to Shareholders
We're reducing our fair value estimate for 3M MMM to $121 from $127, based on the company's June 22 $10.3 billion settlement of various lawsuits.
.
23 Jun 2023",0.2732,2023-06-23
