company,headline,sentiment,date
Boeing Corporation,"Plant Services Boeing company to expand composite components manufacturing plant in Mississippi Boeing company to expand composite components manufacturing plant in Mississippi ... The expansion includes renovation of 40,000 square feet of existing space,... . 29 Aug 2024",0.5574,2024-08-29
Boeing Corporation,"NPR Boeing makes a 'final offer' to striking workers, but union says it's not good enough Boeing said Monday it made a “best and final offer” to striking machinists that includes bigger raises and larger bonuses, but the workers' union said the... . 24 Sept 2024",0.4197,
Boeing Corporation,"Fortune Boeing’s CFO wants to cut costs but it could be a risky maneuver The Boeing Company has a major new dilemma on its hands: Thousands of its workers just walked off the job. In response, CFO Brian West is to cut costs. . 17 Sept 2024",-0.7543,
Boeing Corporation,"Reuters Boeing to raise up to $24.3 bln to shore up finances, stave off downgrade Boeing launched a stock offering that could raise up to $24.3 billion as the planemaker looks to strengthen its finances squeezed by a more than six-week... . 28 Oct 2024",0.4215,2024-10-28
Boeing Corporation,"US Black Engineer and Information Technology Ted Colbert's Departure from Boeing Defense: Customer Concerns, Not DEI, Behind Leadership Change Claims Boeing Ted Colbert, the former head of Boeing's defense division, was removed due to mounting pressure from a key customer — the Department of Defense... . 25 Sept 2024",-0.0516,
Boeing Corporation,"Financial Times Boeing seeks up to $35bn to bolster its balance sheet Boeing has announced plans to raise up to $25bn in new capital and agreed a $10bn credit facility, as the US plane maker seeks to shore up its balance sheet. . 15 Oct 2024",0.5719,2024-10-15
Boeing Corporation,Oregon Public Broadcasting - OPB Machinists union president rallies striking workers at Boeing’s Gresham facility Brian Bryant is the international president of the International Association of Machinists and Aerospace Workers. He visited striking workers outside of Boeing... . 19 Sept 2024,0.0,
Boeing Corporation,Airport Technology Boeing finalises $200m payment to SEC over 737 MAX crash statements The US Securities and Exchange Commission (SEC) has confirmed receipt of the $200m it ordered Boeing to pay in 2022 after the company was found to have misled... . 16 Jul 2024,-0.2263,2024-07-16
Boeing Corporation,"Yahoo Finance Why The Boeing Company (BA) Is Among the Best Aerospace and Defense Stocks to Buy Right Now? Firstly, the defense sector is experiencing significant expansion due to the ongoing conflicts in the Middle East and Ukraine. This rising defense demand... . 16 Dec 2024",0.7096,2024-12-16
Boeing Corporation,"Financial Times Boeing to cut 17,000 jobs and delay 777X jet as revenues fall short CEO Kelly Ortberg says third-quarter results will 'recognise impacts' of machinists' strike. . 11 Oct 2024",-0.5994,2024-10-11
