company,headline,sentiment
Proctor Gamble Corporation,"The Business Journals
Procter & Gamble unveils plans for $500 million manufacturing facility in Arizona
Cincinnati-based consumer goods giant Procter & Gamble Co. unveiled plans to build a massive fabric care manufacturing plant across more than 400 acres in...
.
11 Nov 2022",0.4939
Proctor Gamble Corporation,"MarketBeat
Procter & Gamble (NYSE:PG) Shares Up 0.1% - Here's Why
The Procter & Gamble Company (NYSE:PG - Get Free Report)'s share price traded up 0.1% on Tuesday. The company traded as high as $179.01 and last traded at $177...
.
26 Nov 2024",0.7717
Proctor Gamble Corporation,"ResearchGate
(PDF) Financial Performance Analysis of Procter & Gamble: Insights from Liquidity, Leverage, and Profitability Ratios
PDF | This report aims to analyze the financial performance of the major consumer goods-producing company Proctor & Gamble (P&G). Ratios including.
.
8 Oct 2024",0.2732
Proctor Gamble Corporation,"The New York Times
Double-Digit Price Increases Bolster Profits at Procter & Gamble (Published 2023)
The company raised prices 10 percent across its consumer brands for a second straight quarter and said its profit margin had widened.
.
21 Apr 2023",0.7717
Proctor Gamble Corporation,"TipRanks
Eli Lilly & Co Appoints Procter & Gamble CEO to Board
Eli Lilly & Co Appoints Procter & Gamble CEO to Board ... and never miss an update about LLY stock! An update from Eli Lilly & Co ( (LLY) ) is now available. Eli...
.
19 Nov 2024",0.1867
Proctor Gamble Corporation,"The Motley Fool
3 Reasons to Buy Procter & Gamble Stock Like There's No Tomorrow
It's never going to be a high-growth name, but what P&G lacks in growth it more than makes up for in other ways.
.
30 Mar 2024",0.3818
Proctor Gamble Corporation,"Mint
Procter & Gamble India turns ‘plastic waste neutral’
Procter & Gamble India collected, processed, and recycled over 19000 MT of post-consumer plastic packaging waste that exceeded the amount of plastic...
.
31 Mar 2022",-0.6808
Proctor Gamble Corporation,"CIO
P&G enlists IoT, predictive analytics to perfect Pampers diapers
The consumer packaged goods giant has turned to Microsoft IoT and edge analytics to capture real-time data about manufacturing processes to anticipate...
.
25 Aug 2023",0.5719
Proctor Gamble Corporation,"Bain & Company
Interview: Jon Moeller, Procter & Gamble CEO
It was our honor to interview CEO Jon Moeller during the Future Leaders Programme at the Consumer Goods Forum, cosponsored by Bain & Company.
.
7 Aug 2023",0.4939
Proctor Gamble Corporation,"The Business Journals
Procter & Gamble closes on 430-acre site in Coolidge near Nikola Corp.
Procter & Gamble closes on 430-acre site in Coolidge near Nikola Corp. ... Procter & Gamble is moving forward with a new manufacturing facility in the Phoenix...
.
19 Jan 2023",0.0
Proctor Gamble Corporation,"Business Facilities Magazine
Procter & Gamble To Invest $110M In North Carolina Expansion
The Procter & Gamble Manufacturing Company will invest $110 million to expand its consumer products manufacturing facility located in Greensboro,...
.
7 Mar 2022",0.3182
Proctor Gamble Corporation,"Forbes
Mielle Organics Co-Founders On Remaining True To Customers With Procter & Gamble Acquisition
The Partnership: Expanding Innovation. “We're excited to continue to lead Mielle as an independent subsidiary of P&G Beauty.” A move that Monique Rodriguez...
.
12 Jan 2023",0.7783
Proctor Gamble Corporation,"Reuters
P&G CEO would change debate from 'social justice to winning' to bolster diversity
Procter & Gamble CEO Jon Moeller told Wall Street analysts on Thursday that changing the dialogue to ""winning"" from ""social justice"" would be a more...
.
23 Feb 2024",0.8807
Proctor Gamble Corporation,"The Business Journals
Procter & Gamble buys back KCK plant it once planned to shut down
Procter & Gamble Co. in late April re-acquired its 574000-square-foot soap plant in Kansas City, Kansas. The Cincinnati consumer goods company had sold the...
.
12 May 2023",0.0
Proctor Gamble Corporation,"Seeking Alpha
Procter & Gamble and Colgate-Palmolive lost their bull ratings at Jefferies ahead of earnings
Jefferies downgraded both Procter & Gamble (NYSE:PG) and Colgate-Palmolive Company (NYSE:CL) on Wednesday due to what the firm sees as stretched valuation...
.
24 Jul 2024",-0.3182
Proctor Gamble Corporation,"WCPO 9 Cincinnati
Founding families press Procter & Gamble Co. to save the world’s forests
About 100 P&G descendants have signed letters calling on the company to protect the world's forests, hoping to address the environmental issues the company...
.
18 Jul 2023",0.8225
Proctor Gamble Corporation,"Ohio Capital Journal
Procter and Gamble descendant proposes bill to stop the type of animal testing P&G has done
A descendant of the founders of Procter and Gamble, a multi-billion dollar consumer goods company, is proposing legislation in the Ohio House to stop cosmetics...
.
2 May 2024",-0.5267
Proctor Gamble Corporation,"Reuters
Procter & Gamble sales, earnings get boost from price hikes
Procter & Gamble Co beat estimates for quarterly sales and profit on Wednesday, as price hikes on everything from Head & Shoulders shampoo to Tide detergent...
.
19 Oct 2022",0.6808
Proctor Gamble Corporation,"Seeking Alpha
Procter & Gamble earnings: What to expect
Wall Street expects the Ohio-based consumer goods company to post EPS of $1.90 in FQ1 on revenue of $21.98 billion.
.
17 Oct 2024",0.0
Proctor Gamble Corporation,"Procter & Gamble
Key P&G Suppliers Honored with 2024 Partner of the Year Awards
This award goes to suppliers that have gone above and beyond in delivering sustained value to our business and the consumers P&G serves.
.
26 Apr 2024",0.9136
Proctor Gamble Corporation,"Proactive Investors
Procter & Gamble raises profit outlook but sales miss in fiscal 3Q
Procter & Gamble Co (NYSE:PG, ETR:PRG) posted a mixed bag of fiscal 3Q earnings, with sales disappointing Street expectations as volumes in key segments...
.
19 Apr 2024",-0.5187
Proctor Gamble Corporation,"Yahoo Finance
Is The Procter & Gamble Company (PG) the Best Dividend Stock of 2024?
In this article, we are going to take a look at where The Procter & Gamble Company (NYSE:PG) stands against the other dividend stocks.
.
31 Dec 2024",0.6369
Proctor Gamble Corporation,"WCPO 9 Cincinnati
P&G to relocate hundreds of jobs, to close Winton Hill Business Center
CINCINNATI — Procter & Gamble Co. is set to relocate about 1,500 jobs from its Winton Hill Business Center starting at the end of 2024.
.
19 Jun 2024",0.0
Proctor Gamble Corporation,"Yahoo Finance
Is The Procter & Gamble Company (PG) the Best Dividend Aristocrat Stock To Buy Right Now?
In this article, we are going to take a look at where The Procter & Gamble Company (NYSE:PG) stands against the other dividend aristocrat stocks.
.
25 Nov 2024",0.6369
Proctor Gamble Corporation,"The Globe and Mail
Bullish on Procter & Gamble Co.
Bullish on Procter & Gamble Co. ... ) declined from $165.35 in January 2022 to $125.21 in October (A-B) below the falling 40-week Moving Average (40wMA). By year...
.
4 Dec 2024",-0.1531
Proctor Gamble Corporation,"PR Week
Longtime Procter & Gamble exec Kelly Vanasse joins consultancy Corporate Consciousness
Longtime Procter & Gamble communications executive Kelly Vanasse has joined consultancy Corporate Consciousness as a partner.
.
28 Mar 2023",0.0
Proctor Gamble Corporation,"Simply Wall Street
There's Reason For Concern Over The Procter & Gamble Company's (NYSE:PG) Price
With this information, we find it interesting that Procter & Gamble is trading at a high P/E compared to the market. Apparently many investors in the company...
.
14 Nov 2024",0.4019
