Date,Actual_Close,Predicted_Close
2024-01-02,47.05,47.951855
2024-01-03,46.87,47.320343
2024-01-04,46.89,47.01504
2024-01-05,48.45,46.91325
2024-01-08,48.05,49.02645
2024-01-09,47.47,48.04802
2024-01-10,47.64,47.450005
2024-01-11,47.12,47.637894
2024-01-12,47.06,47.342976
2024-01-16,46.06,47.058033
2024-01-17,46.74,46.18543
2024-01-18,48.15,46.522793
2024-01-19,48.22,47.807636
2024-01-22,48.89,48.109463
2024-01-23,49.09,48.430088
2024-01-24,49.55,48.95276
2024-01-25,43.65,49.47058
2024-01-26,43.84,44.495487
2024-01-29,42.92,44.471024
2024-01-30,43.08,43.241627
2024-01-31,43.36,43.009983
2024-02-01,42.6,43.204372
2024-02-02,42.77,42.131447
2024-02-05,42.74,43.039963
2024-02-06,42.78,42.774483
2024-02-07,42.5,42.80693
2024-02-08,43.31,42.340767
2024-02-09,44.03,43.121742
2024-02-12,43.16,43.569836
2024-02-13,44.19,43.211815
2024-02-14,44.05,43.67921
2024-02-15,43.51,43.805725
2024-02-16,44.52,43.428356
2024-02-20,43.47,44.036507
2024-02-21,42.98,43.713142
2024-02-22,42.99,43.430653
2024-02-23,42.99,43.052498
2024-02-26,42.73,42.983795
2024-02-27,41.99,42.910316
2024-02-28,43.05,41.882816
2024-02-29,43.82,43.23639
2024-03-01,45.61,43.172436
2024-03-04,43.16,45.265537
2024-03-05,44.51,43.227093
2024-03-06,46.15,44.353104
2024-03-07,44.0,44.74622
2024-03-08,44.86,44.126118
2024-03-11,45.24,45.793575
2024-03-12,43.23,45.804802
2024-03-13,42.75,44.177567
2024-03-14,42.64,43.315887
2024-03-15,42.71,43.050667
2024-03-18,42.05,42.820354
2024-03-19,42.2,43.01893
2024-03-20,42.42,43.114384
2024-03-21,42.57,42.765987
2024-03-22,41.83,43.062313
2024-03-25,41.99,42.48466
2024-03-26,43.77,42.58209
2024-03-27,44.17,44.031467
2024-03-28,44.52,44.216824
2024-04-01,43.94,44.298088
2024-04-02,40.33,44.47196
2024-04-03,39.73,41.13072
2024-04-04,38.71,41.382015
2024-04-05,37.98,40.557674
2024-04-08,38.33,39.586075
2024-04-09,37.2,38.38748
2024-04-10,37.63,38.05281
2024-04-11,35.69,37.660698
2024-04-12,36.31,36.57385
2024-04-15,36.26,35.684155
2024-04-16,35.68,36.37885
2024-04-17,35.04,36.14034
2024-04-18,34.2,35.120205
2024-04-19,34.41,34.394527
2024-04-22,34.28,34.32873
2024-04-23,34.5,34.4565
2024-04-24,35.11,34.51984
2024-04-25,31.88,35.399326
2024-04-26,31.36,34.104458
2024-04-29,30.47,31.946257
2024-04-30,30.37,30.570957
2024-05-01,30.51,30.359776
2024-05-02,30.9,30.08466
2024-05-03,30.97,30.500761
2024-05-06,30.68,30.602266
2024-05-07,30.0,30.379786
2024-05-08,30.09,29.5809
2024-05-09,29.85,29.866608
2024-05-10,30.51,29.484348
2024-05-13,31.05,30.101435
2024-05-14,31.27,30.0641
2024-05-15,32.03,30.524996
2024-05-16,31.83,31.194809
2024-05-17,32.1,31.518478
2024-05-20,31.74,32.123234
2024-05-21,31.42,31.671309
2024-05-22,30.08,31.552963
2024-05-23,30.72,30.50193
2024-05-24,31.06,30.983402
2024-05-28,30.13,31.02805
2024-05-29,30.19,30.524817
2024-05-30,30.85,30.430386
2024-05-31,30.29,30.549994
2024-06-03,30.03,30.736565
2024-06-04,30.78,30.825882
2024-06-05,30.42,31.310568
2024-06-06,30.74,30.698015
2024-06-07,30.91,31.82219
2024-06-10,30.92,31.494234
2024-06-11,30.76,31.717854
2024-06-12,30.46,32.13891
2024-06-13,30.45,31.74355
2024-06-14,30.98,31.924215
2024-06-17,30.63,31.86527
2024-06-18,30.62,31.662518
2024-06-20,31.09,31.671078
2024-06-21,30.57,32.072838
2024-06-24,30.74,31.95404
2024-06-25,30.54,31.715055
2024-06-26,30.59,31.51155
2024-06-27,30.97,31.586208
2024-06-28,30.84,31.898396
2024-07-01,31.07,31.981306
2024-07-02,31.23,32.33097
2024-07-03,32.02,31.866747
2024-07-05,33.99,33.11529
2024-07-08,34.59,34.673183
2024-07-09,34.87,35.558277
2024-07-10,33.5,35.08345
2024-07-11,34.49,34.766037
2024-07-12,34.46,34.5653
2024-07-15,34.34,34.402737
2024-07-16,34.46,34.5145
2024-07-17,34.87,34.405567
2024-07-18,32.98,34.680077
2024-07-19,33.37,33.727947
2024-07-22,32.95,33.70145
2024-07-23,31.7,33.551136
2024-07-24,31.1,31.907158
2024-07-25,31.35,31.716984
2024-07-26,30.83,31.49641
2024-07-29,30.13,31.222445
2024-07-30,30.74,31.10832
2024-07-31,29.05,30.827488
2024-08-01,21.48,30.29863
2024-08-02,20.11,23.564209
2024-08-05,19.83,20.594107
2024-08-06,18.99,21.27298
2024-08-07,20.49,19.560389
2024-08-08,19.71,20.497477
2024-08-09,19.36,20.279749
2024-08-12,20.47,20.319136
2024-08-13,19.92,20.057053
2024-08-14,20.69,19.736938
2024-08-15,20.87,22.592096
2024-08-16,21.52,22.917912
2024-08-19,20.99,22.33935
2024-08-20,21.41,21.318468
2024-08-21,20.1,21.760786
2024-08-22,20.54,22.141623
2024-08-23,20.13,20.824678
2024-08-26,20.07,20.390877
2024-08-27,19.61,20.3999
2024-08-28,20.13,20.076836
2024-08-29,22.04,19.778488
2024-08-30,20.1,23.148802
2024-09-03,19.43,20.62316
2024-09-04,19.4,21.367632
2024-09-05,18.89,19.912035
2024-09-06,19.07,21.387175
2024-09-09,18.98,19.458578
2024-09-10,19.64,19.21757
2024-09-11,19.36,19.482414
2024-09-12,19.66,19.624153
2024-09-13,20.91,19.164738
2024-09-16,21.47,20.908342
2024-09-17,20.77,21.116272
2024-09-18,21.14,21.049004
2024-09-19,21.84,21.116306
2024-09-20,22.56,20.08618
2024-09-23,22.81,21.697384
2024-09-24,23.54,22.553354
2024-09-25,23.92,23.56962
2024-09-26,23.91,23.602242
2024-09-27,23.46,23.81303
2024-09-30,22.69,23.75304
2024-10-01,22.39,22.466711
2024-10-02,22.26,22.425371
2024-10-03,22.59,22.352385
2024-10-04,22.38,22.232878
2024-10-07,23.32,22.281971
2024-10-08,23.46,23.004272
2024-10-09,23.22,23.024914
2024-10-10,23.56,22.974663
2024-10-11,23.44,23.18117
2024-10-14,22.66,23.150995
2024-10-15,22.31,22.352436
2024-10-16,22.44,22.29425
2024-10-17,22.77,22.43457
