Date,Actual_Close,Predicted_Close
2024-01-02,107.79,109.47652
2024-01-03,108.17,108.16502
2024-01-04,108.59,108.726166
2024-01-05,108.86,108.62586
2024-01-08,109.1,108.84935
2024-01-09,108.3,109.73597
2024-01-10,108.92,108.20991
2024-01-11,108.12,108.40303
2024-01-12,107.64,108.401085
2024-01-16,106.08,106.02829
2024-01-17,106.44,105.004135
2024-01-18,107.76,106.16596
2024-01-19,108.02,108.40749
2024-01-22,96.1,108.21241
2024-01-23,93.24,98.55287
2024-01-24,95.98,94.59828
2024-01-25,95.99,97.044205
2024-01-26,96.38,95.52369
2024-01-29,95.75,96.14854
2024-01-30,94.35,95.20709
2024-01-31,95.91,96.30724
2024-02-01,94.87,96.052605
2024-02-02,92.73,97.98231
2024-02-05,93.76,93.30918
2024-02-06,93.84,91.23773
2024-02-07,93.2,92.55969
2024-02-08,92.9,92.936806
2024-02-09,94.63,92.48972
2024-02-12,92.66,93.77295
2024-02-13,92.42,91.61894
2024-02-14,92.38,91.58405
2024-02-15,91.25,92.07538
2024-02-16,91.82,89.9669
2024-02-20,91.71,90.564384
2024-02-21,92.23,91.68943
2024-02-22,92.58,91.494675
2024-02-23,91.82,92.156105
2024-02-26,92.3,92.29683
2024-02-27,91.46,92.724205
2024-02-28,92.12,92.31819
2024-02-29,91.86,92.205086
2024-03-01,91.44,92.21857
2024-03-04,92.69,92.07402
2024-03-05,92.52,92.86389
2024-03-06,92.62,92.70696
2024-03-07,93.9,92.35378
2024-03-08,94.05,94.08549
2024-03-11,98.72,94.65895
2024-03-12,104.07,98.54988
2024-03-13,103.12,103.80347
2024-03-14,105.0,103.500305
2024-03-15,104.8,103.58601
2024-03-18,105.32,105.99599
2024-03-19,108.11,107.206924
2024-03-20,107.87,109.01688
2024-03-21,106.78,107.36372
2024-03-22,104.84,106.36406
2024-03-25,102.63,104.86515
2024-03-26,104.59,104.42899
2024-03-27,106.07,105.854614
2024-03-28,94.02,106.24021
2024-04-01,92.84,98.78371
2024-04-02,93.19,94.01244
2024-04-03,90.54,93.77987
2024-04-04,91.03,92.18458
2024-04-05,91.93,93.54143
2024-04-08,92.61,92.285126
2024-04-09,92.63,92.90699
2024-04-10,93.18,93.007774
2024-04-11,91.31,92.84079
2024-04-12,91.3,92.267136
2024-04-15,91.05,91.93863
2024-04-16,90.96,92.30258
2024-04-17,91.48,91.323456
2024-04-18,92.27,91.868935
2024-04-19,92.62,92.17884
2024-04-22,93.0,92.88448
2024-04-23,92.02,92.79631
2024-04-24,91.41,93.08747
2024-04-25,91.83,91.480034
2024-04-26,92.16,92.41864
2024-04-29,96.51,92.89227
2024-04-30,98.44,94.65939
2024-05-01,96.81,99.86449
2024-05-02,97.15,96.749214
2024-05-03,96.59,98.390205
2024-05-06,95.54,97.34204
2024-05-07,96.35,96.25096
