Date,Open,High,Low,Close,Volume
2022-04-14,183.79,185.01,183.45,184.24,992122.0
2022-04-18,184.65,186.08,184.25,185.22,1351629.0
2022-04-19,182.1,183.5194,174.51,176.16,2750303.0
2022-04-20,176.9,177.99,174.17,177.71,2235374.0
2022-04-21,179.38,179.77,175.96,176.26,1846797.0
2022-04-22,175.75,175.75,172.91,173.11,1541449.0
2022-04-25,172.45,174.94,170.63,174.44,1502559.0
2022-04-26,173.83,175.792,172.59,172.66,1779813.0
2022-04-27,173.84,174.96,171.635,173.55,1827528.0
2022-04-28,175.0,175.0,172.18,174.5,1021841.0
2022-04-29,173.94,174.25,170.66,171.06,1329693.0
2022-05-02,171.47,172.45,167.64,170.09,1496615.0
2022-05-03,170.17,173.39,170.03,171.76,1077553.0
2022-05-04,171.64,175.56,171.44,175.45,1471187.0
2022-05-05,175.43,175.43,170.96,172.01,1486395.0
2022-05-06,172.63,172.63,170.185,171.64,1216662.0
2022-05-09,170.93,173.561,170.44,171.92,2043459.0
2022-05-10,173.21,175.28,171.44,172.99,1468332.0
2022-05-11,173.05,175.57,172.3,172.38,1169973.0
2022-05-12,173.41,173.66,171.225,173.37,1315268.0
2022-05-13,173.71,174.23,171.37,172.78,1189660.0
2022-05-16,173.0,175.53,172.84,174.5,1259036.0
2022-05-17,175.49,177.6286,174.27,177.39,1300907.0
2022-05-18,176.82,177.11,173.95,174.32,1094283.0
2022-05-19,172.93,173.5,167.339,169.3,1110871.0
2022-05-20,169.59,170.34,166.31,168.24,1959723.0
2022-05-23,170.25,172.845,168.96,172.1,1453761.0
2022-05-24,172.22,174.27,169.16,173.91,1008145.0
2022-05-25,172.39,174.185,172.39,173.59,1192305.0
2022-05-26,174.32,175.49,173.81,174.87,943140.0
2022-05-27,174.98,177.85,174.06,177.83,943529.0
2022-05-31,177.11,179.96,175.75,179.04,1948403.0
2022-06-01,178.03,178.7,174.99,176.29,1084576.0
2022-06-02,176.94,178.199,173.82,178.06,868890.0
2022-06-03,175.46,176.89,173.69,174.19,1141152.0
2022-06-06,175.07,177.41,174.28,176.98,753333.0
2022-06-07,176.76,178.73,175.67,178.64,944519.0
2022-06-08,177.55,178.11,175.32,175.97,669692.0
2022-06-09,175.9,175.9,171.46,171.53,809729.0
2022-06-10,168.95,170.81,168.08,169.3,1181965.0
2022-06-13,167.12,171.125,166.79,167.71,1784768.0
