company,headline,sentiment
3M Corporation,"Business Wire
Consumer Protection Law Firm Hagens Berman Sues 3M, Others in Class Action Alleging PFAS “Forever Chemicals” in Millions of Carpets
A lawsuit says homes contain carpets infused with PFAS or “forever chemicals,” which manufacturers attempted to cover up, according to Hagens Berman.
.
30 Aug 2024",-0.2263
3M Corporation,"Quartz
3M is freezing pension plans, even as other companies like IBM find the practice outdated
3M just halted pensions for non-union US workers, soon after IBM brought defined benefit plans back.
.
9 Jan 2024",0.6249
3M Corporation,"Barron's
3M Is Leaner and Ready to Grow. It’s Time to Buy the Stock.
3M has been making big changes that have resulted in a smaller, safer, and more nimble company. It spun off its healthcare business on April 1, announced legal...
.
10 May 2024",0.6486
3M Corporation,"Yahoo Finance
3M Company (MMM): Among the Biggest Dividend Cuts and Suspensions of 2024
We recently compiled a list of the 10 Biggest Dividend Cuts and Suspensions of 2024. In this article, we are going to take a look at where 3M Company...
.
23 Dec 2024",-0.5267
3M Corporation,"CNN
3M agrees to pay $6 billion after US military said faulty earplugs led to hearing loss
3M has agreed to pay $6 billion to resolve roughly 300000 lawsuits alleging that the manufacturing company supplied faulty combat earplugs to the military...
.
29 Aug 2023",-0.6369
3M Corporation,"VnExpress International
Apple supplier 3M launches Hanoi center
American adhesives producer 3M Corporation, a major supplier to Apple, has launched its Science and Technology Center in Hanoi for research and development...
.
14 Aug 2024",0.128
3M Corporation,"ETHRWorld.com
This is how 3M India’s ‘Work Your Way’ model providing flexibility to its employees
The article also talks about the company's various initiatives to attract women talent into the manufacturing workspace.
.
12 Jun 2023",0.7717
3M Corporation,"Fierce Biotech News & Reports
Mystery solved: 3M unveils Solventum as name of planned healthcare spinoff
3M appears to have chosen the latter, with its upcoming healthcare company now being dubbed Solventum, according to an announcement Thursday.
.
17 Nov 2023",0.2732
3M Corporation,"3M News Center
14-year-old named America's Top Young Scientist for inventing an AI handheld pesticide detector
ST. PAUL, Minn. and CHARLOTTE, N.C., Oct. 16, 2024 /PRNewswire/ -- 3M (@3M) and Discovery Education (@DiscoveryEd) named Sirish Subash, a 9th grader at...
.
16 Oct 2024",0.2023
3M Corporation,"Window Film Magazine
3M, Mr. Tint Name Witnesses for Case
3M plans to call as witnesses Pam Dorrough, 3M's northeastern territory manager, and Tom Nocilo, owner of Mr. Tint, as witnesses.
.
17 Apr 2024",0.0
3M Corporation,"Investopedia
3M Stock Climbs After Company Appoints Bill Brown as CEO
Shares in 3M Company (MMM) moved sharply higher Tuesday after the company said it had appointed William M. ""Bill"" Brown as the new chief executive officer.
.
12 Mar 2024",0.296
